Wins,Name,Surface,Rank,Gender
2,Zvonareva V.,Grass,561,Female
1,Zvonareva V.,Hard,992,Female
4,Zverev A.,Clay,285,Male
1,Zopp J.,Clay,335,Male
3,Zhu L.,Hard,186.3333,Female
6,Zheng S.,Hard,114.6667,Female
1,Zheng J.,Clay,59,Female
5,Zheng J.,Grass,90,Female
6,Zheng J.,Hard,60.8333,Female
1,Zhao C.,Hard,421,Female
7,Zhang S.,Clay,46.2857,Female
4,Zhang S.,Grass,36,Female
7,Zhang S.,Hard,45.7143,Female
2,Zhang L.,Hard,269,Female
3,Zhang K.L.,Hard,278,Female
4,Zeballos H.,Clay,104,Male
3,Zeballos H.,Hard,105.6667,Male
1,Zanevska M.,Clay,136,Female
6,Zakopalova K.,Clay,33.6667,Female
13,Zakopalova K.,Hard,34.2308,Female
1,Zahlavova Strycova B.,Clay,56,Female
9,Zahlavova Strycova B.,Grass,53.5556,Female
19,Zahlavova Strycova B.,Hard,47.8947,Female
7,Youzhny M.,Clay,18.1429,Male
1,Youzhny M.,Grass,16,Male
10,Youzhny M.,Hard,25.4,Male
5,Young D.,Clay,86.2,Male
1,Young D.,Grass,69,Male
12,Young D.,Hard,72.4167,Male
1,Ymer E.,Clay,310,Male
1,Xu Y.F.,Hard,248,Female
1,Wozniak A.,Clay,268,Female
2,Wozniak A.,Grass,135,Female
4,Wozniak A.,Hard,223.75,Female
1,Wozniacki C.,Clay,14,Female
6,Wozniacki C.,Grass,16,Female
42,Wozniacki C.,Hard,11.7619,Female
1,Winner,Surface,0,Gender
4,Williams V.,Clay,29.25,Female
2,Williams V.,Grass,30,Female
27,Williams V.,Hard,31.5556,Female
9,Williams S.,Clay,1,Female
2,Williams S.,Grass,1,Female
41,Williams S.,Hard,1,Female
2,Williams R.,Hard,146,Male
3,Wickmayer Y.,Clay,59.6667,Female
2,Wickmayer Y.,Grass,54,Female
8,Wickmayer Y.,Hard,65.25,Female
6,Wawrinka S.,Clay,3,Male
7,Wawrinka S.,Grass,3,Male
25,Wawrinka S.,Hard,5.6,Male
1,Watson H.,Clay,92,Female
4,Watson H.,Grass,70,Female
4,Watson H.,Hard,73.5,Female
1,Ward J.,Clay,152,Male
1,Ward J.,Grass,155,Male
2,Ward J.,Hard,162.5,Male
3,Wang Y.,Hard,251,Female
1,Wang Q.,Hard,139,Female
2,Wang J.,Clay,133,Male
2,Wang J.,Grass,147,Male
1,Wang C.,Hard,553,Male
2,Voskoboeva G.,Hard,74,Female
1,Volandri F.,Clay,77,Male
4,Voegele S.,Clay,74.5,Female
10,Voegele S.,Hard,61.1,Female
10,Vinci R.,Clay,21.2,Female
11,Vinci R.,Hard,31.1818,Female
2,Vickery S.,Hard,193,Female
7,Vesnina E.,Clay,33.1429,Female
2,Vesnina E.,Grass,32,Female
7,Vesnina E.,Hard,40.8571,Female
7,Vesely J.,Clay,87,Male
2,Vesely J.,Grass,68,Male
5,Vesely J.,Hard,78.6,Male
13,Verdasco F.,Clay,28.8462,Male
2,Verdasco F.,Grass,23,Male
11,Verdasco F.,Hard,33.9091,Male
1,Vekic D.,Grass,89,Female
11,Vekic D.,Hard,93.2727,Female
1,Vandeweghe C.,Clay,91,Female
8,Vandeweghe C.,Grass,70.5,Female
13,Vandeweghe C.,Hard,62.3846,Female
3,Van Uytvanck A.,Clay,98,Female
1,Van Uytvanck A.,Grass,93,Female
6,Van Uytvanck A.,Hard,93.3333,Female
1,Ungur A.,Clay,118,Male
6,Tursunov D.,Clay,32.3333,Male
2,Tursunov D.,Grass,32,Male
5,Tursunov D.,Hard,29.8,Male
1,Tsurenko L.,Grass,144,Female
3,Tsurenko L.,Hard,124,Female
8,Tsonga J.W.,Clay,13.125,Male
4,Tsonga J.W.,Grass,17,Male
22,Tsonga J.W.,Hard,11.5909,Male
2,Troicki V.,Clay,847,Male
6,Troicki V.,Hard,146.8333,Male
2,Townsend T.,Clay,205,Female
3,Townsend T.,Hard,201.6667,Female
8,Torro Flor M.T.,Clay,64.375,Female
4,Torro Flor M.T.,Hard,78.5,Female
8,Tomljanovic A.,Clay,73.125,Female
9,Tomljanovic A.,Hard,68.6667,Female
5,Tomic B.,Clay,124,Male
3,Tomic B.,Grass,83.3333,Male
9,Tomic B.,Hard,63.8889,Male
12,Thiem D.,Clay,60.4167,Male
10,Thiem D.,Hard,74.8,Male
7,Svitolina E.,Clay,36,Female
2,Svitolina E.,Grass,34,Female
27,Svitolina E.,Hard,37.7778,Female
20,Suarez Navarro C.,Clay,15.3,Female
2,Suarez Navarro C.,Grass,15,Female
28,Suarez Navarro C.,Hard,16.6071,Female
5,Struff J.L.,Clay,85.6,Male
1,Struff J.L.,Grass,65,Male
9,Struff J.L.,Hard,79.4444,Male
8,Stosur S.,Clay,18.375,Female
1,Stosur S.,Grass,17,Female
23,Stosur S.,Hard,19.6087,Female
6,Stephens S.,Clay,17.8333,Female
3,Stephens S.,Grass,18.6667,Female
11,Stephens S.,Hard,17.7273,Female
6,Stepanek R.,Clay,41.3333,Male
5,Stepanek R.,Grass,41.2,Male
5,Stepanek R.,Hard,47.4,Male
1,Starace P.,Clay,152,Male
3,Stakhovsky S.,Clay,91,Male
5,Stakhovsky S.,Grass,90.8,Male
7,Stakhovsky S.,Hard,89.5714,Male
1,Souza J.,Clay,129,Male
8,Sousa J.,Clay,42.25,Male
4,Sousa J.,Grass,47.75,Male
11,Sousa J.,Hard,42,Male
1,Sorensen L.,Clay,236,Male
1,Soler Espinosa S..,Hard,73,Female
12,Soler Espinosa S.,Clay,96.5833,Female
1,Soler Espinosa S.,Grass,74,Female
3,Soler Espinosa S.,Hard,81.3333,Female
1,Soeda G.,Hard,109,Male
5,Sock J.,Clay,83.4,Male
4,Sock J.,Grass,76.25,Male
18,Sock J.,Hard,72.7778,Male
7,Smyczek T.,Hard,104.1429,Male
3,Smitkova T.,Grass,174,Female
4,Siniakova K.,Hard,128.5,Female
10,Simon G.,Clay,29,Male
3,Simon G.,Grass,41.3333,Male
15,Simon G.,Hard,30.2,Male
3,Sijsling I.,Clay,62.6667,Male
6,Sijsling I.,Hard,67,Male
1,Siegemund L.,Clay,201,Female
5,Shvedova Y.,Clay,66.6,Female
5,Shvedova Y.,Grass,67,Female
6,Shvedova Y.,Hard,70.6667,Female
19,Sharapova M.,Clay,8.5263,Female
3,Sharapova M.,Grass,5,Female
28,Sharapova M.,Hard,4.8571,Female
1,Shapatava S.,Clay,215,Female
10,Seppi A.,Clay,37.2,Male
13,Seppi A.,Hard,43.3077,Male
2,Sela D.,Clay,87.5,Male
3,Sela D.,Grass,101,Male
11,Sela D.,Hard,84,Male
2,Schwartzman D.,Clay,104.5,Male
2,Schmiedlova A.,Clay,56,Female
3,Schmiedlova A.,Hard,75.6667,Female
4,Schiavone F.,Clay,59,Female
1,Schiavone F.,Grass,71,Female
9,Schiavone F.,Hard,71.2222,Female
11,Scheepers C.,Clay,83.2727,Female
1,Scheepers C.,Grass,97,Female
3,Scheepers C.,Hard,79.3333,Female
2,Saville L.,Grass,210,Male
1,Savchuk O.,Hard,242,Female
2,Sasnovich A.,Hard,108.5,Female
1,Sanders S.,Hard,234,Female
9,Safarova L.,Clay,25.3333,Female
5,Safarova L.,Grass,23,Female
22,Safarova L.,Hard,20.5455,Female
4,Rybarikova M.,Clay,36.75,Female
3,Rybarikova M.,Grass,39,Female
13,Rybarikova M.,Hard,48.1538,Female
1,Russell M.,Clay,97,Male
5,Russell M.,Hard,108.8,Male
17,Rosol L.,Clay,45.2353,Male
1,Rosol L.,Grass,52,Male
10,Rosol L.,Hard,38.8,Male
1,Rola B.,Clay,80,Male
1,Rola B.,Grass,92,Male
2,Rola B.,Hard,136.5,Male
2,Rogowska O.,Hard,172.5,Female
4,Rogers S.,Clay,147,Female
8,Rogers S.,Hard,98,Female
2,Roger-Vasselin E.,Clay,46.5,Male
5,Roger-Vasselin E.,Grass,52.4,Male
14,Roger-Vasselin E.,Hard,43.9286,Male
1,Rodionova An.,Clay,217,Female
1,Rodionova An.,Hard,221,Female
15,Robredo T.,Clay,17.9333,Male
3,Robredo T.,Grass,22,Male
25,Robredo T.,Hard,19.56,Male
1,Robert S.,Clay,85,Male
4,Robert S.,Hard,111.75,Male
3,Riske A.,Clay,44.6667,Female
4,Riske A.,Grass,42,Female
17,Riske A.,Hard,56.0588,Female
3,Riba P.,Clay,99.3333,Male
1,Reister J.,Grass,110,Male
1,Razzano V.,Clay,79,Female
1,Razzano V.,Grass,104,Female
2,Razzano V.,Hard,90.5,Female
11,Raonic M.,Clay,9.4545,Male
5,Raonic M.,Grass,9,Male
31,Raonic M.,Hard,8.6129,Male
12,Ramos A.,Clay,98.1667,Male
1,Ramos A.,Hard,85,Male
1,Ramanathan R.,Hard,526,Male
1,Ram R.,Grass,157,Male
2,Ram R.,Hard,151,Male
3,Radwanska U.,Hard,175.6667,Female
12,Radwanska A.,Clay,3,Female
3,Radwanska A.,Grass,4,Female
28,Radwanska A.,Hard,4.3929,Female
5,Querrey S.,Clay,73.8,Male
6,Querrey S.,Grass,75.6667,Male
15,Querrey S.,Hard,55.2,Male
2,Putintseva Y.,Clay,204,Female
3,Putintseva Y.,Hard,136,Female
6,Puig M.,Clay,56.6667,Female
1,Puig M.,Grass,50,Female
9,Puig M.,Hard,60.7778,Female
1,Puetz T.,Grass,251,Male
4,Przysiezny M.,Hard,122.5,Male
2,Pouille L.,Hard,176,Male
1,Pospisil V.,Clay,34,Male
3,Pospisil V.,Grass,35,Male
16,Pospisil V.,Hard,37.625,Male
1,Polansky P.,Clay,130,Male
1,Polansky P.,Hard,129,Male
3,Pliskova Kr.,Hard,122,Female
7,Pliskova Ka.,Clay,57.8571,Female
1,Pliskova Ka.,Grass,50,Female
36,Pliskova Ka.,Hard,48.4167,Female
3,Piter K.,Clay,108,Female
1,Piter K.,Hard,120,Female
2,Pironkova T.,Clay,41.5,Female
15,Pironkova T.,Hard,67.8,Female
3,Phau B.,Hard,358,Male
5,Pfizenmaier D.,Clay,106,Female
1,Pfizenmaier D.,Hard,84,Female
1,Petzschner P.,Hard,524,Male
1,Petrova N.,Hard,205,Female
19,Petkovic A.,Clay,29.5263,Female
3,Petkovic A.,Grass,20,Female
17,Petkovic A.,Hard,22.8235,Female
1,Peterson R.,Hard,250,Female
2,Pervak K.,Hard,136,Female
6,Pereira T.,Clay,97.6667,Female
1,Pereira T.,Hard,103,Female
4,Pennetta F.,Clay,12.5,Female
2,Pennetta F.,Grass,12,Female
24,Pennetta F.,Hard,18.625,Female
6,Peng S.,Clay,44.1667,Female
3,Peng S.,Grass,60,Female
19,Peng S.,Hard,37.9474,Female
3,Pella G.,Clay,126.3333,Male
1,Peliwo F.,Clay,266,Male
4,Peer S.,Clay,91,Female
1,Peer S.,Grass,86,Female
5,Peer S.,Hard,113.4,Female
4,Pavlyuchenkova A.,Clay,25,Female
1,Pavlyuchenkova A.,Grass,26,Female
21,Pavlyuchenkova A.,Hard,26.7619,Female
1,Pavic M.,Grass,475,Male
2,Pavic A.,Grass,154,Male
1,Paszek T.,Clay,155,Female
3,Parmentier P.,Clay,145,Female
4,Parmentier P.,Hard,87.25,Female
3,Panova A.,Clay,136,Female
1,Panova A.,Hard,133,Female
3,Paire B.,Clay,61,Male
7,Paire B.,Hard,57.5714,Male
1,Oudin M.,Hard,127,Female
1,Ostapenko J.,Hard,407,Female
2,Osaka N.,Hard,335.5,Female
7,Ormaechea P.,Clay,74.5714,Female
2,Ormaechea P.,Hard,78,Female
6,Oprandi R.,Clay,106,Female
3,Oprandi R.,Hard,131.6667,Female
2,Olivo R.,Clay,282,Male
2,Olivetti A.,Hard,249,Male
10,Nishikori K.,Clay,14.5,Male
5,Nishikori K.,Grass,12,Male
37,Nishikori K.,Hard,12.2973,Male
5,Nieminen J.,Clay,56,Male
4,Nieminen J.,Grass,62.25,Male
14,Nieminen J.,Hard,46.0714,Male
4,Niculescu M.,Clay,70,Female
18,Niculescu M.,Hard,58.7778,Female
2,Nedovyesov A.,Clay,89,Male
2,Nedovyesov A.,Hard,107.5,Male
7,Nara K.,Clay,57,Female
1,Nara K.,Grass,40,Female
15,Nara K.,Hard,49.4667,Female
25,Nadal R.,Clay,1,Male
3,Nadal R.,Grass,1,Male
21,Nadal R.,Hard,1.2857,Male
11,Murray A.,Clay,7.7273,Male
5,Murray A.,Grass,5,Male
41,Murray A.,Hard,8.5122,Male
1,Muller G.,Grass,103,Male
3,Muller G.,Hard,61.3333,Male
1,Muhammad A.,Hard,285,Female
9,Muguruza G.,Clay,37.4444,Female
2,Muguruza G.,Grass,27,Female
27,Muguruza G.,Hard,37.037,Female
1,Moser L.M.,Clay,315,Female
3,Morita A.,Hard,75.3333,Female
12,Montanes A.,Clay,66.0833,Male
1,Montanes A.,Hard,59,Male
7,Monfils G.,Clay,26.2857,Male
2,Monfils G.,Grass,20.5,Male
23,Monfils G.,Hard,26.3043,Male
15,Monaco J.,Clay,74.4,Male
7,Monaco J.,Hard,81.1429,Male
2,Mladenovic K.,Clay,103,Female
13,Mladenovic K.,Hard,83.8462,Female
1,Minella M.,Hard,107,Female
5,Min G.,Clay,137.4,Female
1,Min G.,Hard,119,Female
1,Milojevic N.,Clay,581,Male
1,Millot V.,Hard,267,Male
1,Michon A.,Clay,206,Male
6,Meusburger Y.,Clay,38,Female
2,Meusburger Y.,Grass,38,Female
6,Meusburger Y.,Hard,44.1667,Female
8,Melzer J.,Clay,65,Male
3,Melzer J.,Grass,52,Male
3,Melzer J.,Hard,123,Male
10,Mchale C.,Clay,64,Female
1,Mchale C.,Grass,49,Female
9,Mchale C.,Hard,54.8889,Female
2,Mayr P.,Clay,80,Female
7,Mayr P.,Hard,93.7143,Female
18,Mayer L.,Clay,66.9444,Male
3,Mayer L.,Grass,64,Male
5,Mayer L.,Hard,40,Male
7,Mayer F.,Hard,37.5714,Male
3,Mattek-Sands B.,Hard,46,Female
4,Matosevic M.,Clay,68,Male
4,Matosevic M.,Grass,59.5,Male
14,Matosevic M.,Hard,63.0714,Male
3,Mathieu P.H.,Clay,95.6667,Male
1,Mathieu P.H.,Grass,92,Male
7,Mathieu P.H.,Hard,106.1429,Male
1,Martic P.,Hard,226,Female
2,Marti Y.,Clay,222,Male
2,Marchenko I.,Hard,172.5,Male
2,Mannarino A.,Clay,92.5,Male
4,Mannarino A.,Grass,84.75,Male
10,Mannarino A.,Hard,79.2,Male
2,Malek T.,Hard,413,Female
3,Makarova E.,Clay,23.3333,Female
6,Makarova E.,Grass,22,Female
30,Makarova E.,Hard,20.9667,Female
2,Majeric T.,Hard,129.5,Female
2,Mahut N.,Clay,39,Male
5,Mahut N.,Grass,48,Male
7,Mahut N.,Hard,62,Male
1,Machado R.,Clay,243,Male
2,Lucic M.,Clay,105.5,Female
10,Lucic M.,Hard,98.3,Female
1,Lu Y.H.,Clay,52,Male
3,Lu Y.H.,Grass,47.6667,Male
20,Lu Y.H.,Hard,49.7,Male
8,Lorenzi P.,Clay,101.125,Male
3,Lorenzi P.,Hard,85.6667,Male
7,Lopez F.,Clay,29.4286,Male
12,Lopez F.,Grass,26.9167,Male
21,Lopez F.,Hard,25.5238,Male
1,Llodra M.,Clay,147,Male
3,Llodra M.,Hard,148,Male
1,Lizarazo Y.,Clay,742,Female
1,Liu F.,Hard,273,Female
4,Lisicki S.,Clay,16,Female
4,Lisicki S.,Grass,19,Female
19,Lisicki S.,Hard,25.6842,Female
2,Linette M.,Hard,124,Female
1,Lindell C.,Clay,402,Male
1,Lim A.,Hard,150,Female
5,Li N.,Clay,2,Female
2,Li N.,Grass,2,Female
22,Li N.,Hard,2.9091,Female
1,Lertpitaksinchai N.,Hard,347,Female
4,Lepchenko V.,Clay,50.75,Female
3,Lepchenko V.,Grass,57.6667,Female
20,Lepchenko V.,Hard,47.8,Female
2,Larsson J.,Clay,99,Female
5,Larsson J.,Hard,89.2,Female
2,Larcherde Brito M.,Grass,104,Female
9,Lajovic D.,Clay,78.6667,Male
1,Lajovic D.,Grass,84,Male
4,Lajovic D.,Hard,93.5,Male
2,Lacko L.,Grass,88,Male
9,Lacko L.,Hard,92.3333,Male
1,Laaksonen H.,Clay,319,Male
4,Kyrgios N.,Grass,144,Male
4,Kyrgios N.,Hard,93.25,Male
6,Kvitova P.,Clay,6,Female
